eng_name,Rice (raw),Rice (boiled),Wheat bread (raw),Rye bread (raw),Beef (raw),Beef (boiled),Beef (roasted),Pork (raw),Pork (boiled),Pork (roasted),Chicken (raw),Chicken (boiled),Chicken (roasted),Salo (raw),Salo (roasted),Wheat flour (raw),Pasta (raw),Pasta (boiled),Buckwheat (raw),Buckwheat (boiled),Pork/beef sausage (raw),Milk (raw),Cream (raw),Butter (raw),Cottage cheese (raw),Sugars (raw),Sunflower oil (raw),Eggs (raw),Eggs (boiled),Eggs (roasted),Potatoes (raw),Potatoes (boiled),Potatoes (roasted),Cabbage (raw),Cabbage (boiled),Carrots (raw),Carrots (boiled),Beets (raw),Beets (boiled),Onions (raw),Onions (boiled),Salt (raw),Oranges (raw),Green beans (raw),Sunflower seeds (raw),Pumpkin seeds (raw),Walnuts (raw),Oatmeal (raw),Common mushrooms (raw),Portabella mushrooms (raw),Figs (raw),Radishes (raw),Tomatoes (raw),Sweet peppers (raw),Hot peppers (raw),Garlic (raw),Parsley (raw),Dill weed (raw),Herring (raw),Sardine (oil) (canned),Sardine (tomato sauce) (canned)
Vitamin A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,1740.0,410.0,1910.0,260.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,970.0,6840.0,370.0,0.0,0.0,1600.0,1490.0,2190.0,0.0,0.0,10.0,50.0,40.0,8350.0,8520.0,20.0,20.0,0.0,0.0,0.0,130.0,350.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,420.0,1570.0,480.0,0.0,4210.0,3860.0,580.0,320.0,340.0
Vitamin C,0.0,0.0,2.0,4.0,0.0,0.0,0.0,9.0,0.0,9.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,130.0,96.0,366.0,375.0,59.0,36.0,49.0,36.0,74.0,52.0,0.0,710.0,122.0,14.0,3.0,13.0,0.0,21.0,0.0,12.0,148.0,137.0,1277.0,1437.0,312.0,1330.0,850.0,39.0,0.0,10.0
Vitamin D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,48.0,48.0
Vitamin E,0.0,0.0,1.9,3.3,3.0,6.9,3.9,1.7,1.0,1.7,0.0,3.0,3.3,4.2,0.0,0.6,1.1,0.6,0.0,0.9,2.2,0.3,2.5,23.2,0.8,0.0,410.8,10.5,10.3,13.1,0.1,0.1,0.4,1.5,1.4,6.6,10.3,0.4,0.4,0.2,0.2,0.0,0.0,4.1,351.7,0.0,7.0,4.7,0.1,0.2,3.5,0.0,5.4,15.8,6.9,0.8,7.5,0.0,35.5,20.4,13.8
Vitamin K,0.0,0.0,56.0,12.0,12.0,25.0,14.0,0.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,3.0,1.0,5.0,0.0,19.0,16.0,2.0,13.0,70.0,0.0,0.0,54.0,4.0,3.0,57.0,20.0,22.0,20.0,760.0,1087.0,132.0,137.0,2.0,2.0,4.0,5.0,0.0,0.0,430.0,0.0,0.0,27.0,0.0,10.0,18.0,156.0,13.0,79.0,49.0,140.0,17.0,16400.0,0.0,5.0,26.0,4.0
Vitamin B1,0.7,0.2,4.15,4.34,0.66,1.4,0.69,8.75,4.81,8.75,0.48,0.6,0.63,1.6,2.1,1.2,0.9,0.2,1.01,0.4,3.57,0.39,0.3,0.05,0.27,0.0,0.0,0.4,0.66,0.44,0.81,1.06,0.64,0.61,0.61,0.66,0.66,0.31,0.27,0.46,0.42,0.0,1.0,0.82,14.8,0.34,3.41,7.3,0.81,0.59,0.85,0.12,0.37,0.54,0.72,2.0,0.86,0.58,2.07,0.8,0.44
Vitamin B2,0.48,0.16,2.53,3.35,1.08,1.8,1.21,2.28,3.87,2.28,2.01,1.2,2.24,0.9,2.0,0.4,0.6,0.2,4.25,0.39,1.47,1.85,1.94,0.34,1.63,0.19,0.0,4.57,5.13,4.95,0.32,0.2,0.48,0.4,0.38,0.58,0.44,0.4,0.4,0.27,0.23,0.0,0.5,1.04,3.55,0.52,1.5,1.4,4.02,1.3,0.82,0.39,0.19,0.85,0.86,1.1,0.98,2.96,1.55,2.27,2.33
Vitamin B3,16.0,4.0,56.2,38.05,66.83,44.2,74.71,53.38,82.05,53.38,53.89,68.01,79.08,26.3,31.2,12.5,17.0,4.0,70.2,9.4,33.67,0.92,1.09,0.42,0.99,0.0,0.0,0.75,0.64,0.82,10.61,14.39,14.1,2.34,2.48,9.83,6.45,3.34,3.31,1.16,1.65,0.0,5.0,7.34,83.35,2.86,11.25,7.8,36.07,44.94,6.19,2.54,5.94,9.79,12.44,7.0,13.13,15.7,86.72,52.45,42.0
Vitamin B6,1.45,0.5,1.11,0.75,6.04,3.5,5.49,5.0,4.3,5.0,2.2,3.5,3.8,1.43,1.92,0.44,1.42,0.49,2.1,0.77,0.5,0.38,0.5,0.03,0.46,0.0,0.0,1.7,1.21,1.84,2.98,2.99,3.11,1.24,1.12,1.38,1.53,0.67,0.67,1.2,1.29,0.0,0.93,1.41,13.45,0.37,5.37,1.2,1.04,1.48,1.06,0.71,0.8,2.91,5.06,12.35,0.9,1.85,6.36,1.67,1.23
Vitamin B9,90.0,20.0,990.0,1510.0,130.0,90.0,90.0,90.0,10.0,90.0,270.0,60.0,290.0,0.0,0.0,260.0,180.0,70.0,300.0,140.0,20.0,50.0,30.0,30.0,120.0,0.0,0.0,470.0,440.0,510.0,150.0,100.0,280.0,430.0,300.0,190.0,140.0,1090.0,800.0,190.0,150.0,0.0,300.0,330.0,2270.0,90.0,980.0,0.0,170.0,280.0,90.0,250.0,150.0,460.0,230.0,30.0,1520.0,1500.0,260.0,100.0,240.0
Vitamin B12,0.0,0.0,0.0,0.0,10.6,33.0,18.2,7.1,6.9,7.1,7.9,3.1,9.4,6.7,5.4,0.0,0.0,0.0,0.0,0.0,4.3,5.3,1.9,1.7,4.3,0.0,0.0,8.9,11.1,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,89.4,90.0
Vitamin B5,13.42,4.11,0.0,4.4,6.38,3.7,5.42,8.05,7.72,8.05,7.96,9.1,11.28,4.3,5.1,4.38,4.31,1.12,12.33,3.59,4.8,3.56,5.39,1.1,5.57,0.0,0.0,15.33,13.98,16.6,2.95,5.2,3.76,2.12,1.74,2.73,2.32,1.55,1.45,1.23,1.13,0.0,3.3,2.25,11.3,0.56,5.7,0.0,14.97,11.4,4.34,1.65,0.89,3.17,2.01,5.96,4.0,3.97,15.47,6.42,7.3
Vitamin B4,0.0,0.0,187.0,146.0,901.0,0.0,1049.0,723.0,884.0,723.0,0.0,597.0,733.0,310.0,329.0,104.0,0.0,64.0,0.0,201.0,588.0,164.0,187.0,188.0,184.0,0.0,0.0,2938.0,2938.0,3171.0,121.0,135.0,148.0,107.0,203.0,88.0,88.0,60.0,63.0,61.0,68.0,0.0,0.0,153.0,551.0,0.0,392.0,0.0,173.0,212.0,158.0,65.0,67.0,56.0,109.0,232.0,128.0,0.0,785.0,750.0,760.0
Calcium,90.0,30.0,1330.0,730.0,240.0,60.0,180.0,60.0,70.0,60.0,140.0,110.0,150.0,140.0,220.0,150.0,210.0,70.0,180.0,70.0,100.0,1200.0,1070.0,240.0,830.0,10.0,0.0,560.0,500.0,620.0,120.0,50.0,150.0,400.0,480.0,330.0,300.0,160.0,160.0,230.0,220.0,240.0,700.0,370.0,780.0,550.0,980.0,520.0,30.0,30.0,1620.0,250.0,100.0,70.0,140.0,1810.0,1380.0,2080.0,90.0,3820.0,2400.0
Copper,1.1,0.38,1.59,1.86,0.73,1.19,0.88,0.75,0.73,0.75,0.71,0.48,0.8,0.67,0.9,1.44,2.89,1.0,11.0,1.46,0.4,0.06,0.09,0.16,0.29,0.07,0.0,0.72,0.13,0.78,1.1,1.88,1.18,0.19,0.17,0.45,0.17,0.75,0.74,0.39,0.67,0.3,0.57,0.69,18.0,6.9,15.86,0.0,3.18,2.86,2.87,0.5,0.59,0.17,1.29,2.99,1.49,1.46,0.45,1.86,2.72
Fluorine,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,28.0,316.0,0.0,0.0,11.0,48.0,12.0,0.0,494.0,0.0,10.0,10.0,32.0,475.0,0.0,0.0,11.0,0.0,20.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iodine,5.0,0.0,629.0,480.0,12.0,7.0,154.0,8.0,6.0,8.0,8.0,11.0,11.0,8.0,8.0,30.0,100.0,34.0,5.0,7.0,21.0,228.0,150.0,88.0,153.0,5.0,0.0,576.0,473.0,621.0,5.0,4.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,199.0,3.0,5.0,5.0,5.0,5.0,43.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,8.0,66.0,66.0,280.0,104.0,250.0
Iron,8.0,2.0,34.9,28.3,15.7,33.3,18.0,10.1,9.7,10.1,15.3,9.0,16.6,2.6,4.6,11.7,13.0,5.0,22.0,8.0,11.3,0.2,0.5,0.2,0.7,0.5,0.0,17.5,11.9,18.9,8.1,3.1,10.8,4.7,1.7,3.0,3.4,8.0,7.9,2.1,2.4,3.3,8.0,10.3,52.5,33.1,29.1,42.0,5.0,3.1,20.3,3.4,2.7,4.3,10.3,17.0,62.0,65.9,3.4,29.2,23.0
Magnesium,350.0,130.0,450.0,400.0,230.0,230.0,220.0,250.0,230.0,250.0,190.0,200.0,230.0,60.0,90.0,220.0,530.0,180.0,2310.0,510.0,120.0,110.0,100.0,20.0,80.0,0.0,0.0,120.0,100.0,130.0,230.0,220.0,280.0,120.0,150.0,120.0,100.0,230.0,230.0,100.0,110.0,10.0,140.0,250.0,3250.0,2620.0,1580.0,1480.0,90.0,100.0,680.0,100.0,110.0,120.0,230.0,250.0,500.0,550.0,270.0,390.0,340.0
Manganese,11.0,3.77,11.77,8.24,0.13,0.18,0.09,0.29,0.1,0.29,0.29,0.19,0.31,0.0,0.03,6.82,9.17,3.22,13.0,4.03,0.37,0.14,0.05,0.04,0.02,0.04,0.0,0.28,0.26,0.3,1.53,1.38,2.19,1.6,2.05,1.43,1.55,3.29,3.26,1.29,1.53,1.0,0.0,2.16,19.5,4.96,34.14,0.0,0.47,0.69,5.1,0.69,1.14,1.12,1.87,16.72,1.6,12.64,0.11,1.08,2.06
Phosphorus,1080.0,370.0,1490.0,1250.0,2020.0,2560.0,2010.0,2290.0,2210.0,2290.0,1440.0,1470.0,1820.0,840.0,1090.0,1080.0,1890.0,580.0,3470.0,700.0,1070.0,920.0,950.0,240.0,1590.0,0.0,0.0,1980.0,1720.0,2150.0,570.0,440.0,700.0,260.0,330.0,350.0,300.0,400.0,380.0,290.0,350.0,0.0,220.0,380.0,6600.0,920.0,3460.0,4740.0,860.0,1080.0,670.0,200.0,240.0,260.0,430.0,1530.0,580.0,660.0,2400.0,4900.0,3660.0
Selenium,0.0,0.0,288.0,309.0,264.0,304.0,289.0,354.0,321.0,354.0,159.0,144.0,159.0,90.0,115.0,339.0,632.0,264.0,83.0,22.0,144.0,25.0,32.0,10.0,97.0,6.0,0.0,307.0,308.0,331.0,4.0,3.0,4.0,3.0,6.0,1.0,7.0,7.0,7.0,5.0,6.0,1.0,7.0,6.0,530.0,0.0,49.0,0.0,93.0,186.0,6.0,6.0,0.0,1.0,5.0,142.0,1.0,0.0,240.0,527.0,406.0
Zinc,11.6,4.2,11.9,11.4,39.4,57.7,47.9,22.7,41.1,22.7,19.8,13.1,21.6,6.0,7.5,7.0,14.1,5.1,24.0,6.1,18.7,4.8,3.9,0.9,4.0,0.1,0.0,12.9,10.5,13.9,3.0,3.0,3.6,1.8,2.0,2.4,2.0,3.5,3.5,1.7,2.1,1.0,1.1,2.4,50.0,103.0,30.9,30.7,5.2,5.3,5.5,2.8,1.7,2.5,2.6,11.6,10.7,9.1,3.6,13.1,14.0
Potassium,860.0,290.0,1770.0,1660.0,3400.0,3370.0,3260.0,3690.0,3660.0,3690.0,1630.0,1890.0,2120.0,3330.0,1250.0,1070.0,2230.0,440.0,4600.0,880.0,1890.0,1400.0,1320.0,240.0,1040.0,20.0,0.0,1380.0,1260.0,1520.0,4250.0,3790.0,5350.0,1700.0,1960.0,3200.0,2350.0,3250.0,3050.0,1460.0,1660.0,80.0,1960.0,2110.0,6450.0,9190.0,4410.0,3500.0,3180.0,3640.0,6800.0,2330.0,2370.0,2110.0,3220.0,4010.0,5540.0,7380.0,3630.0,3970.0,3410.0
Sodium,10.0,0.0,5080.0,6030.0,550.0,700.0,530.0,550.0,760.0,550.0,660.0,700.0,790.0,470.0,560.0,20.0,60.0,10.0,10.0,40.0,9290.0,470.0,610.0,110.0,3640.0,10.0,0.0,1420.0,1240.0,2070.0,60.0,40.0,100.0,180.0,80.0,690.0,580.0,780.0,770.0,40.0,30.0,387580.0,20.0,60.0,90.0,180.0,20.0,40.0,50.0,90.0,100.0,390.0,50.0,40.0,90.0,170.0,560.0,610.0,590.0,3070.0,4140.0
Carbohydrate,793.4,285.9,486.8,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,763.1,746.7,308.6,715.0,199.4,27.0,48.0,47.3,0.6,33.8,999.8,0.0,7.2,11.2,8.3,174.9,201.3,211.5,58.0,55.1,95.8,82.2,95.6,99.6,93.4,101.5,0.0,155.0,69.7,200.0,537.5,137.1,670.0,32.6,38.7,638.7,34.0,38.9,60.3,88.1,330.6,63.3,70.2,0.0,0.0,5.4
Fibers,0.0,0.0,40.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,18.0,100.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,22.0,25.0,19.0,28.0,30.0,28.0,20.0,17.0,14.0,0.0,45.0,27.0,86.0,184.0,67.0,98.0,10.0,13.0,98.0,16.0,12.0,21.0,15.0,21.0,33.0,21.0,0.0,0.0,1.0
Fats,5.8,2.1,32.4,33.0,54.7,164.4,93.1,54.1,44.1,54.1,123.7,150.6,132.7,657.0,661.0,9.8,15.1,9.3,34.0,6.2,362.5,19.8,103.9,811.1,43.0,0.0,1000.0,95.1,106.1,148.4,0.9,1.0,1.3,1.0,0.6,2.4,1.8,1.7,1.8,1.0,1.9,0.0,3.0,2.2,514.6,194.0,652.1,63.0,3.4,3.5,9.3,1.0,2.0,3.0,4.4,5.0,7.9,11.2,134.2,114.5,104.5
