name_prep_eng,price_kg_uah
Rice (boiled),7.04
Wheat bread (raw),12.37
Rye bread (raw),12.25
Beef (boiled),179.41
Beef (roasted),173.85
Pork (boiled),171.47
Pork (roasted),151.31
Chicken (boiled),73.82
Chicken (roasted),85.17
Salo (raw),60.06
Salo (roasted),100.12
Pasta (boiled),4.22
Buckwheat (boiled),6.11
Pork/beef sausage (raw),72.68
Milk (raw),17.46
Cream (raw),45.73
Butter (raw),149.2
Cottage cheese (raw),96.12
Sugars (raw),15.58
Sunflower oil (raw),32.76
Eggs (boiled),19.38
Eggs (roasted),25.83
Potatoes (boiled),7.59
Potatoes (roasted),9.13
Cabbage (raw),5.41
Cabbage (boiled),5.88
Carrots (raw),7.7
Carrots (boiled),7.74
Beets (raw),5.41
Beets (boiled),5.7
Onions (raw),5.94
Onions (boiled),8.02
Salt (raw),4.35
Oranges (raw),40.0
Green beans (raw),20.0
Sunflower seeds (raw),40.0
Pumpkin seeds (raw),90.0
Walnuts (raw),220.0
Figs (raw),110.0
Radishes (raw),5.0
Tomatoes (raw),22.0
Sweet peppers (raw),47.5
Hot peppers (raw),25.0
Garlic (raw),34.0
Parsley (raw),40.0
Dill weed (raw),50.0
Herring (raw),50.0
Sardine (oil) (canned),104.0
Sardine (tomato sauce) (canned),88.0
